=================================================
Project : math_60	start : 18/01/12 19:23
Current failed test : org.apache.commons.math.distribution.NormalDistributionTest::testExtremeValues | 18/01/12 19:23
Fri Jan 12 19:24:03 AEDT 2018 Fri Jan 12 19:24:03 AEDT 2018 : org.apache.commons.math.MathException,84=>Find no block
Fri Jan 12 19:24:06 AEDT 2018 org.apache.commons.math.MathException,85
Fri Jan 12 19:24:59 AEDT 2018 org.apache.commons.math.MathException,86
Fri Jan 12 19:25:00 AEDT 2018 Fri Jan 12 19:25:00 AEDT 2018 : org.apache.commons.math.MathException,87=>Find no block
Fri Jan 12 19:25:02 AEDT 2018 org.apache.commons.math.MathException,168
Fri Jan 12 19:25:14 AEDT 2018 org.apache.commons.math.MathException,169
Fri Jan 12 19:25:16 AEDT 2018 org.apache.commons.math.MathException,177
Fri Jan 12 19:25:24 AEDT 2018 org.apache.commons.math.MathException,183
Fri Jan 12 19:25:32 AEDT 2018 org.apache.commons.math.ConvergenceException,62
Fri Jan 12 19:25:54 AEDT 2018 Fri Jan 12 19:25:54 AEDT 2018 : org.apache.commons.math.ConvergenceException,63=>Find no block
Fri Jan 12 19:25:56 AEDT 2018 Fri Jan 12 19:25:56 AEDT 2018 : org.apache.commons.math.util.FastMath,653=>Find no block
Fri Jan 12 19:25:57 AEDT 2018 Fri Jan 12 19:25:57 AEDT 2018 : org.apache.commons.math.util.FastMath,654=>Find no block
Fri Jan 12 19:25:59 AEDT 2018 Fri Jan 12 19:25:59 AEDT 2018 : org.apache.commons.math.util.FastMath,658=>Find no block
Fri Jan 12 19:26:00 AEDT 2018 Fri Jan 12 19:26:00 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,163=>Find no block
Fri Jan 12 19:26:02 AEDT 2018 Fri Jan 12 19:26:02 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,164=>Find no block
Fri Jan 12 19:26:03 AEDT 2018 Fri Jan 12 19:26:03 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,186=>Find no block
Fri Jan 12 19:26:05 AEDT 2018 Fri Jan 12 19:26:05 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,149=>Find no block
Fri Jan 12 19:26:06 AEDT 2018 Fri Jan 12 19:26:06 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,150=>Find no block
Fri Jan 12 19:26:08 AEDT 2018 Fri Jan 12 19:26:08 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,151=>Find no block
Fri Jan 12 19:26:09 AEDT 2018 Fri Jan 12 19:26:09 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,152=>Find no block
Fri Jan 12 19:26:11 AEDT 2018 Fri Jan 12 19:26:11 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,153=>Find no block
Fri Jan 12 19:26:12 AEDT 2018 Fri Jan 12 19:26:12 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,158=>Find no block
Fri Jan 12 19:26:13 AEDT 2018 Fri Jan 12 19:26:13 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,159=>Find no block
Fri Jan 12 19:26:14 AEDT 2018 Fri Jan 12 19:26:14 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,160=>Find no block
Fri Jan 12 19:26:16 AEDT 2018 Fri Jan 12 19:26:16 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,161=>Find no block
Fri Jan 12 19:26:17 AEDT 2018 Fri Jan 12 19:26:17 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,162=>Find no block
Fri Jan 12 19:26:18 AEDT 2018 Fri Jan 12 19:26:18 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,169=>Find no block
Fri Jan 12 19:26:20 AEDT 2018 Fri Jan 12 19:26:20 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,170=>Find no block
Fri Jan 12 19:26:22 AEDT 2018 Fri Jan 12 19:26:22 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,171=>Find no block
Fri Jan 12 19:26:24 AEDT 2018 org.apache.commons.math.util.FastMath,644
Fri Jan 12 19:29:51 AEDT 2018 Fri Jan 12 19:29:51 AEDT 2018 : org.apache.commons.math.util.FastMath,648=>Find no block
Fri Jan 12 19:29:53 AEDT 2018 Fri Jan 12 19:29:53 AEDT 2018 : org.apache.commons.math.special.Gamma,169=>Find no block
Fri Jan 12 19:29:54 AEDT 2018 Fri Jan 12 19:29:54 AEDT 2018 : org.apache.commons.math.util.FastMath,3491=>Find no block
Fri Jan 12 19:29:56 AEDT 2018 org.apache.commons.math.special.Gamma,173
Fri Jan 12 19:50:21 AEDT 2018 org.apache.commons.math.special.Erf,53
Fri Jan 12 19:53:21 AEDT 2018 org.apache.commons.math.distribution.NormalDistributionImpl,125
Fri Jan 12 20:14:27 AEDT 2018 org.apache.commons.math.distribution.NormalDistributionImpl,127
Fri Jan 12 20:14:35 AEDT 2018 org.apache.commons.math.special.Erf,51
Fri Jan 12 20:28:24 AEDT 2018 Fri Jan 12 20:28:24 AEDT 2018 : org.apache.commons.math.special.Erf,52=>Find no block
Fri Jan 12 20:28:25 AEDT 2018 Fri Jan 12 20:28:25 AEDT 2018 : org.apache.commons.math.special.Erf,55=>Find no block
Fri Jan 12 20:28:27 AEDT 2018 org.apache.commons.math.util.ContinuedFraction,47
